原句,分词,词频,关键词(TF-IDF),关键词(TextRank),关键词(我们的方法)
1.依靠科技的力量来开发、利用原来不能利用的资源。例如，我们有那么多的海涂，能不能依靠科技的进步把它变成我们重要的土地资源？！依靠科技的进步，还可以使现有的资源利用得以延伸。这包括使潜在资源优势变为现实资源优势，使资源产品变为资源商品，使资源的初加工变为精深加工，使资源的一次增值变为多次增值。比如，毛竹是我们的一大资源，我们不能单纯出售原竹，而要发展笋罐头、竹编工艺品和制品，实现综合利用和多次增值。,资源,8,资源,资源,科技
,我们,4,变为,变为,发展
,变为,4,增值,增值,我们
,科技,3,依靠,依靠,重要
,增值,3,资源优势,资源优势,实现
,利用,3,科技,科技,资源
,依靠,3,利用,利用,力量
,不能,3,我们,我们,依靠
,进步,2,进步,进步,产品
,资源优势,2,不能,不能,开发
,多次,2,原竹,原竹,进步
,重要,1,多次,多次,利用
,那么,1,初加工,初加工,现实
,罐头,1,海涂,海涂,包括
,综合利用,1,精深,精深,可以
,精深,1,,,
,竹编,1,,,
,现有,1,,,
,现实,1,,,
,潜在,1,,,
,海涂,1,,,
,毛竹,1,,,
,比如,1,,,
,得以,1,,,
,开发,1,,,
,延伸,1,,,
,工艺品,1,,,
,实现,1,,,
,土地,1,,,
,商品,1,,,
,可以,1,,,
,变成,1,,,
,发展,1,,,
,原竹,1,,,
,原来,1,,,
,单纯,1,,,
,包括,1,,,
,加工,1,,,
,力量,1,,,
,制品,1,,,
,初加工,1,,,
,出售,1,,,
,例如,1,,,
,产品,1,,,
,一次,1,,,
,一大,1,,,
,,,,,
2.依靠科学技术进步，以节约要素的投入。这一点突出地表现在品种改良、栽培管理和施肥技术上。首先，改良后的新品种，可以在其他投入要素不变或少量增加的情况下，使产量获得较大幅度的增长。其次，采用先进的栽培管理技术，可以解决原来生产上难以解决的矛盾，并节约工本。第三，先进的施肥技术，可以大大提高肥料的利用率。,技术,3,施肥,施肥,技术
,可以,3,节约,节约,科学技术
,要素,2,栽培,栽培,先进
,节约,2,技术,技术,生产
,管理,2,要素,要素,要素
,栽培,2,先进,先进,投入
,施肥,2,工本,工本,管理
,投入,2,投入,投入,解决
,先进,2,品种改良,品种改良,依靠
,首先,1,难以解决,难以解决,增长
,难以解决,1,可以,可以,进步
,采用,1,管理,管理,突出
,进步,1,新品种,新品种,节约
,解决,1,肥料,肥料,可以
,获得,1,利用率,利用率,其他
,肥料,1,,,
,第三,1,,,
,突出,1,,,
,科学技术,1,,,
,矛盾,1,,,
,生产,1,,,
,现在,1,,,
,新品种,1,,,
,改良,1,,,
,情况,1,,,
,工本,1,,,
,少量,1,,,
,大幅度,1,,,
,大大提高,1,,,
,增长,1,,,
,增加,1,,,
,地表,1,,,
,品种改良,1,,,
,原来,1,,,
,利用率,1,,,
,其次,1,,,
,其他,1,,,
,依靠,1,,,
,产量,1,,,
,不变,1,,,
,一点,1,,,
,,,,,
3.依靠科学技术的进步扩展农副产品销售市场。生产多了，销不出去，就会影响农业再生产的积极性。比如，有的地方有丰富的生产鲜活产品的资源，但当地市场却十分有限，因此资源优势难以转变为经济优势。如果我们采用保鲜包装，就可以把鲜活产品运出去，从而扩展它的市场。此外，通过采用先进的科学技术，还可以提高农副产品的品位，提高它在市场上的竞争的能力。这也是扩展销售市场的一个方面。,扩展,3,扩展,扩展,经济
,市场,3,销售市场,销售市场,我们
,鲜活,2,鲜活,鲜活,农业
,销售市场,2,农副产品,农副产品,提高
,采用,2,科学技术,科学技术,优势
,科学技术,2,销不,销不,资源
,生产,2,运出去,运出去,能力
,提高,2,采用,采用,科学技术
,可以,2,保鲜,保鲜,方面
,农副产品,2,市场,市场,先进
,产品,2,提高,提高,生产
,难以,1,资源优势,资源优势,市场
,销不,1,产品,产品,一个
,通过,1,生产,生产,转变
,进步,1,品位,品位,依靠
,运出去,1,,,
,转变,1,,,
,资源优势,1,,,
,资源,1,,,
,能力,1,,,
,经济,1,,,
,竞争,1,,,
,积极性,1,,,
,比如,1,,,
,此外,1,,,
,有限,1,,,
,方面,1,,,
,我们,1,,,
,影响,1,,,
,当地,1,,,
,如果,1,,,
,地方,1,,,
,因此,1,,,
,品位,1,,,
,十分,1,,,
,包装,1,,,
,出去,1,,,
,农业,1,,,
,再生产,1,,,
,先进,1,,,
,保鲜,1,,,
,依靠,1,,,
,优势,1,,,
,从而,1,,,
,丰富,1,,,
,一个,1,,,
,,,,,
4.依靠科学技术的进步改善农民的生产水平。1968年我在陕北延川县梁家河村插队的时候，只不过是在全村搞了沼气化的科技活动，但却尝到了推广科技进步的甜头。家家户户煮饭不用柴，点灯不用油，乡亲们那种喜悦的笑容至今宛然在目。实践证明，科技与政治是紧密联系的。科技搞上去了，生产生活问题解决了，就会得到人民群众的拥护。,科技,3,科技,科技,科技
,生产,2,1968,1968,问题
,陕北,1,延川县,延川县,人民
,问题,1,河村,河村,科学技术
,那种,1,宛然,宛然,水平
,进步,1,搞上去,搞上去,生产
,解决,1,煮饭,煮饭,生活
,至今,1,梁家,梁家,解决
,群众,1,科技进步,科技进步,依靠
,紧密联系,1,沼气,沼气,活动
,笑容,1,插队,插队,科技进步
,科技进步,1,尝到了,尝到了,进步
,科学技术,1,用油,用油,改善
,用油,1,甜头,甜头,推广
,生活,1,实践证明,实践证明,群众
,甜头,1,,,
,煮饭,1,,,
,点灯,1,,,
,活动,1,,,
,沼气,1,,,
,河村,1,,,
,水平,1,,,
,梁家,1,,,
,时候,1,,,
,政治,1,,,
,改善,1,,,
,搞上去,1,,,
,插队,1,,,
,推广,1,,,
,拥护,1,,,
,得到,1,,,
,延川县,1,,,
,尝到了,1,,,
,家家户户,1,,,
,实践证明,1,,,
,宛然,1,,,
,喜悦,1,,,
,只不过,1,,,
,农民,1,,,
,全村,1,,,
,依靠,1,,,
,人民,1,,,
,乡亲们,1,,,
,不用,1,,,
,1968,1,,,
,,,,,
“九五”以来，我省围绕发展海洋经济总体目标，以创建全国科技兴海示范基地和省级科技兴海示范区为载体，以重大海洋产业化关键技术为突破口，强化科技创新和综合集成，全面推进科技兴海战略的实施，为我省海洋经济的可持续发展发挥了重要作用。但是，从总体上看，我省海洋科技对海洋经济的贡献率不高，海洋科技现状和我省发展海洋经济的要求还不相适应，必须进一步加大科技兴海的力度。一要整合我省与中央驻浙海洋科研力量，整合浙江大学、宁波大学、海洋学院等有关涉海专业，加快培养一批创新型人才。加强国际国内海洋技术合作交流，积极吸引国内外海洋人才、海洋科研院所到浙江落户。鼓励企业与高等院校、科研院所开展以资产为纽带的产学研联合，共同组建面向行业、面向地区、开放性的区域海洋技术研发中心。二要切实提高海洋产业的科技支撑能力，重点加强对海水养殖优良品种的繁育、深水网箱的抗风浪、水质监测和病害防治、海洋生物制品、保健食品、功能食品和药品的技术攻关，抢占海洋科技制高点。三要加大海洋科技投入。对事关海洋经济发展的基础性、关键性技术，政府要加大必要的资金投入，发挥主导作用；对有市场前景的项目，政府要发挥引导作用，积极鼓励社会资本投入海洋科技领域；同时，要加大开放力度，吸引更多的资金、技术和大项目，在我省沿海地区形成若干个有竞争优势的海洋高新技术产业群。,海洋,18,海洋,海洋,创新
,科技,10,科技,科技,科技
,我省,6,兴海,兴海,发展
,经济,5,我省,我省,技术
,技术,5,技术,技术,经济
,发展,4,加大,加大,加快
,加大,4,科研院所,科研院所,加强
,兴海,4,发挥,发挥,产业
,发挥,3,经济,经济,合作
,鼓励,2,面向,面向,人才
,项目,2,发展,发展,战略
,面向,2,整合,整合,企业
,积极,2,人才,人才,国际
,科研院所,2,鼓励,鼓励,重要
,整合,2,宁波大学,宁波大学,社会
,政府,2,,,
,投入,2,,,
,吸引,2,,,
,加强,2,,,
,力度,2,,,
,作用,2,,,
,人才,2,,,
,高等院校,1,,,
,高新技术,1,,,
,驻浙,1,,,
,食品,1,,,
,风浪,1,,,
,集成,1,,,
,防治,1,,,
,重要,1,,,
,重点,1,,,
,重大,1,,,
,进一步,1,,,
,载体,1,,,
,资金投入,1,,,
,资金,1,,,
,资本,1,,,
,资产,1,,,
,贡献率,1,,,
,要求,1,,,
,行业,1,,,
,落户,1,,,
,药品,1,,,
,若干个,1,,,
,能力,1,,,
,联合,1,,,
,网箱,1,,,
,综合,1,,,
,组建,1,,,
,纽带,1,,,
,繁育,1,,,
,竞争,1,,,
,突破口,1,,,
,科研,1,,,
,科技领域,1,,,
,社会,1,,,
,示范区,1,,,
,示范,1,,,
,研发,1,,,
,省级,1,,,
,监测,1,,,
,病害,1,,,
,现状,1,,,
,深水,1,,,
,涉海,1,,,
,海洋生物,1,,,
,海洋学院,1,,,
,海水,1,,,
,浙江大学,1,,,
,浙江,1,,,
,沿海地区,1,,,
,水质,1,,,
,有关,1,,,
,攻关,1,,,
,支撑,1,,,
,提高,1,,,
,推进,1,,,
,持续,1,,,
,抢占,1,,,
,战略,1,,,
,总体目标,1,,,
,必须,1,,,
,必要,1,,,
,形成,1,,,
,强化,1,,,
,引导,1,,,
,开放性,1,,,
,开放,1,,,
,开展,1,,,
,市场前景,1,,,
,实施,1,,,
,宁波大学,1,,,
,基础性,1,,,
,基地,1,,,
,培养,1,,,
,地区,1,,,
,国际,1,,,
,国内外,1,,,
,国内,1,,,
,围绕,1,,,
,同时,1,,,
,合作,1,,,
,区域,1,,,
,加快,1,,,
,功能,1,,,
,力量,1,,,
,制高点,1,,,
,制品,1,,,
,创新型,1,,,
,创新,1,,,
,创建,1,,,
,切实,1,,,
,养殖,1,,,
,关键技术,1,,,
,关键性,1,,,
,共同,1,,,
,全面,1,,,
,全国,1,,,
,保健食品,1,,,
,但是,1,,,
,优良品种,1,,,
,优势,1,,,
,企业,1,,,
,以来,1,,,
,从总体上,1,,,
,产学研,1,,,
,产业群,1,,,
,产业化,1,,,
,产业,1,,,
,交流,1,,,
,二要,1,,,
,事关,1,,,
,九五,1,,,
,主导作用,1,,,
,中心,1,,,
,中央,1,,,
,专业,1,,,
,不高,1,,,
,不相适应,1,,,
,三要,1,,,
,一批,1,,,
,,,,,
“走在前列”还必须吸纳各省区市的优长，并瞄准国际先进水平，用国际先进标准来衡量和要求自己，顺应当代世界科技和经济发展的潮流。,国际,2,先进,先进,科技
,先进,2,优长,优长,发展
,顺应,1,当代世界,当代世界,经济
,要求,1,省区市,省区市,国际
,衡量,1,国际,国际,水平
,自己,1,顺应,顺应,必须
,经济,1,吸纳,吸纳,先进
,科技,1,潮流,潮流,自己
,瞄准,1,瞄准,瞄准,要求
,省区市,1,衡量,衡量,前列
,潮流,1,前列,前列,瞄准
,水平,1,科技,科技,标准
,标准,1,标准,标准,潮流
,必须,1,水平,水平,顺应
,当代世界,1,必须,必须,省区市
,吸纳,1,,,
,发展,1,,,
,前列,1,,,
,优长,1,,,
