原句,分词,词频,关键词(TF-IDF),关键词(TextRank),关键词(我们的方法)
“十二五”规划还提出要努力提高创新能力，推动经济发展更多依靠科技创新驱动，将“中国制造”更多变成“中国创造”。,中国,2,努力提高,努力提高,创新
,驱动,1,十二五,十二五,科技
,规划,1,创新能力,创新能力,发展
,经济,1,驱动,驱动,经济
,科技,1,依靠,依靠,推动
,提出,1,中国,中国,中国
,推动,1,规划,规划,创新能力
,变成,1,创造,创造,创造
,发展,1,科技,科技,驱动
,十二五,1,创新,创新,依靠
,努力提高,1,变成,变成,提出
,制造,1,制造,制造,制造
,创造,1,推动,推动,规划
,创新能力,1,提出,提出,变成
,创新,1,发展,发展,十二五
,依靠,1,,,
,,,,,
“学贵知疑，小疑则小进，大疑则大进。”要创新，就要有强烈的创新意识，凡事要有打破砂锅问到底的劲头，敢于质疑现有理论，勇于开拓新的方向，攻坚克难，追求卓越。,创新,2,打破砂锅问到底,打破砂锅问到底,创新
,追求,1,攻坚克难,攻坚克难,方向
,质疑,1,勇于开拓,勇于开拓,理论
,知疑,1,学贵,学贵,意识
,理论,1,知疑,知疑,敢于
,现有,1,小疑,小疑,追求
,方向,1,小进,小进,攻坚克难
,敢于,1,大疑,大疑,强烈
,攻坚克难,1,大进,大进,卓越
,打破砂锅问到底,1,创新,创新,现有
,意识,1,劲头,劲头,就要
,强烈,1,凡事,凡事,质疑
,就要,1,卓越,卓越,劲头
,小进,1,敢于,敢于,知疑
,小疑,1,质疑,质疑,打破砂锅问到底
,学贵,1,,,
,大进,1,,,
,大疑,1,,,
,卓越,1,,,
,勇于开拓,1,,,
,劲头,1,,,
,凡事,1,,,
