@relation weka_20192

@attribute 创新 {yes}
@attribute 科技 {yes}
@attribute 发展 {yes}
@attribute 建设 {yes}
@attribute 国家 {yes}
@attribute 我们 {yes}
@attribute 科学 {yes}
@attribute 领域 {yes}
@attribute 世界 {yes}
@attribute 国际 {yes}
@attribute 自主 {yes}
@attribute 重要 {yes}
@attribute 实现 {yes}
@attribute 体系 {yes}
@attribute 关键 {yes}
@attribute 企业 {yes}
@attribute 社会 {yes}
@attribute 坚持 {yes}
@attribute 问题 {yes}
@attribute 全面 {yes}
@attribute 创造 {yes}
@attribute 机制 {yes}
@attribute 环境 {yes}
@attribute 提供 {yes}
@attribute 开放 {yes}
@attribute 鼓励 {yes}
@attribute 建立 {yes}
@attribute 解决 {yes}
@attribute 经济 {yes}
@attribute 产业 {yes}
@attribute 全球 {yes}
@attribute 变革 {yes}
@attribute 革命 {yes}
@attribute 各国 {yes}
@attribute 新一轮 {yes}
@attribute 当前 {yes}
@attribute 增长 {yes}
@attribute 动能 {yes}
@attribute 挑战 {yes}
@attribute 进入 {yes}
@attribute 加速 {yes}
@attribute 推动 {yes}
@attribute 合作 {yes}
@attribute 中国 {yes}
@attribute 推进 {yes}
@attribute 人类 {yes}
@attribute 人民 {yes}
@attribute 重大 {yes}
@attribute 人工智能 {yes}
@attribute 方面 {yes}
@attribute 现代 {yes}
@attribute 数据 {yes}
@attribute 加快 {yes}
@attribute 数字 {yes}
@attribute 融合 {yes}
@attribute 成果 {yes}
@attribute 深度 {yes}
@attribute 时代 {yes}
@attribute 高度重视 {yes}
@attribute 智能 {yes}
@attribute 技术 {yes}
@attribute 加强 {yes}
@attribute 提升 {yes}
@attribute 促进 {yes}
@attribute 形成 {yes}
@attribute 应用 {yes}
@attribute 广大 {yes}
@attribute 农业 {yes}
@attribute 资源 {yes}
@attribute 实施 {yes}
@attribute 需求 {yes}
@attribute 作为 {yes}
@attribute 转变 {yes}
@attribute 方式 {yes}
@attribute 水平 {yes}
@attribute 安全 {yes}
@attribute 现代化 {yes}
@attribute 构建 {yes}
@attribute 先进 {yes}
@attribute 打造 {yes}
@attribute 绿色 {yes}
@attribute 继续 {yes}
@attribute 方向 {yes}
@attribute 提高 {yes}
@attribute 管理 {yes}
@attribute 信息技术 {yes}
@attribute 运用 {yes}
@attribute 理念 {yes}
@attribute 智能化 {yes}
@attribute 综合 {yes}
@attribute 效率 {yes}
@attribute 树立 {yes}
@attribute 成为 {yes}
@attribute 力量 {yes}
@attribute 高质量 {yes}
@attribute 智慧 {yes}
@attribute 高水平 {yes}
@attribute 一流 {yes}
@attribute 不断 {yes}
@attribute 战略 {yes}
@attribute 科学家 {yes}
@attribute 更加 {yes}
@attribute 希望 {yes}
@attribute 突破 {yes}
@attribute 共同 {yes}
@attribute 发挥 {yes}
@attribute 作用 {yes}
@attribute 工作 {yes}
@attribute 积极 {yes}
@attribute 引领 {yes}
@attribute 技术创新 {yes}
@attribute 核心技术 {yes}
@attribute 加大 {yes}
@attribute 我国 {yes}
@attribute 研究 {yes}
@attribute 基础 {yes}
@attribute 人才 {yes}
@attribute 探索 {yes}
@attribute 区块 {yes}
@attribute 规律 {yes}
@attribute 引导 {yes}
@attribute 平台 {yes}
@attribute 适应 {yes}
@attribute 能力 {yes}
@attribute 强国 {yes}
@attribute 经济社会 {yes}
@attribute 领导 {yes}
@attribute 开展 {yes}
@attribute 科学技术 {yes}
@attribute 具有 {yes}
@attribute 必须 {yes}
@attribute 科研 {yes}
@attribute 把握 {yes}
@attribute 活动 {yes}
@attribute 改革 {yes}
@attribute 努力 {yes}
@attribute 支撑 {yes}
@attribute 研发 {yes}

@data
?,?,?,yes,?,?,?,yes,?,?,?,?,yes,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,yes,?,?,?,?,?,?,?,?,?,?,?,?,yes,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,yes,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
yes,yes,yes,?,?,yes,?,yes,yes,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
yes,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,yes,?,yes,yes,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
yes,yes,yes,?,?,?,?,?,yes,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
yes,?,yes,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,yes,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
yes,?,?,?,?,?,?,?,?,?,?,yes,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,yes,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,yes,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,yes,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
yes,?,yes,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,yes,?,?,?,?,?,?,?,?,?,?,?,yes,?,?,?,?,?,?,?,?,?,?,yes,?,?,?,?,?,?,?,?,yes,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,yes,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
yes,yes,yes,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,yes,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
yes,yes,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,yes,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
yes,yes,yes,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,yes,?,?,?,?,?,?,?,?,?,?,?,?,?,yes,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,yes,yes,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
